"https://tienda.mercadona.es/product/10723/bebida-lactea-crecimiento-desarrollo-puleva-max-3-anos-brick","huevos_leche_y_mantequilla_leche_y_bebidas_vegetales","Bebida láctea crecimiento y desarrollo Puleva Max","Brick","1.79","1.790","l","2022-12-07","10723"
"https://tienda.mercadona.es/product/10726/bebida-lactea-crecimiento-desarrollo-puleva-max-3-anos-pack-6","huevos_leche_y_mantequilla_leche_y_bebidas_vegetales","Bebida láctea crecimiento y desarrollo Puleva Max","Pack-6","10.74","1.790","l","2022-12-07","10726"
"https://tienda.mercadona.es/product/10730/leche-desnatada-sin-lactosa-hacendado-pack-6","huevos_leche_y_mantequilla_leche_y_bebidas_vegetales","Leche desnatada sin lactosa Hacendado","Pack-6","6.06","1.010","l","2022-12-07","10730"
"https://tienda.mercadona.es/product/10731/leche-desnatada-sin-lactosa-hacendado-brick","huevos_leche_y_mantequilla_leche_y_bebidas_vegetales","Leche desnatada sin lactosa Hacendado","Brick","1.01","1.010","l","2022-12-07","10731"
"https://tienda.mercadona.es/product/10732/leche-semidesnatada-sin-lactosa-hacendado-pack-6","huevos_leche_y_mantequilla_leche_y_bebidas_vegetales","Leche semidesnatada sin lactosa Hacendado","Pack-6","1.76","1.467","l","2022-12-07","10732"
"https://tienda.mercadona.es/product/1077/embutido-mixto-bandeja","carne_embutido","Embutido mixto","Bandeja","2.73","6.490","kg","2022-12-07","1077"
"https://tienda.mercadona.es/product/10781/bebida-lactea-con-cereales-crecimiento-desarrollo-puleva-max-3-anos-brick","huevos_leche_y_mantequilla_leche_y_bebidas_vegetales","Bebida láctea con cereales crecimiento y desarrollo Puleva Max","Brick","1.85","1.850","l","2022-12-07","10781"
"https://tienda.mercadona.es/product/10783/leche-entera-hacendado-pack-6","huevos_leche_y_mantequilla_leche_y_bebidas_vegetales","Leche entera Hacendado","Pack-6","1.59","1.325","l","2022-12-07","10783"
"https://tienda.mercadona.es/product/10794/leche-semidesnatada-hacendado-pack-6","huevos_leche_y_mantequilla_leche_y_bebidas_vegetales","Leche semidesnatada Hacendado","Pack-6","1.59","1.325","l","2022-12-07","10794"
"https://tienda.mercadona.es/product/10802/leche-desnatada-pascual-brick","huevos_leche_y_mantequilla_leche_y_bebidas_vegetales","Leche desnatada Pascual","Brick","1.19","1.190","l","2022-12-07","10802"
"https://tienda.mercadona.es/product/10805/leche-desnatada-pascual-pack-6","huevos_leche_y_mantequilla_leche_y_bebidas_vegetales","Leche desnatada Pascual","Pack-6","7.14","1.190","l","2022-12-07","10805"
